5,50000,4,100,0.05,0.5,0,0.01,86.85,14.02,96.93,92.89,8.76,99.52,8.8,45.1,148.43,45.66,2739,0.000163,0.000685,Cancer_1
5,50000,4,100,0.05,0.5,0,0.01,84.09,14.5,96.52,92.38,8.89,99.52,7.62,48.01,154.01,21.16,1269,0.000131,0.000566,Cancer_2
5,50000,4,100,0.05,0.5,0,0.01,93.71,4.42,96.93,98.03,2.48,99.52,14.97,45.32,156.52,13.25,795,0.000102,0.000383,Cancer_3
5,50000,4,100,0.05,0.5,0,0.01,82.99,13.26,96.73,91.05,8.09,99.52,23.11,37.39,159.57,9.17,550,0.00346,0.0242,Cancer_4
6,50000,4,100,0.05,0.5,0,0.01,78.73,0.36,79.45,78.06,0.43,79.21,1.87,8.86,2509.18,79.25,4755,8.29E-05,0.000429,bank-additional_0
6,50000,4,100,0.05,0.5,0,0.01,61.86,15.2,80.13,59.22,16.6,79.08,3.1,24.55,2498.07,43.48,2608,0.000144,0.000605,bank-additional_1
6,50000,4,100,0.05,0.5,0,0.01,78.33,1.04,79.62,77.85,0.93,79.99,6.12,6.95,2520.67,32.57,1954,6.01E-05,0.00027,bank-additional_2
6,50000,4,100,0.05,0.5,0,0.01,77.01,1.51,79.17,76.59,1.15,78.57,8,12.32,2357.36,29.75,1784,4.62E-05,0.000271,bank-additional_3
7,50000,4,100,0.05,0.5,0,0.01,86.17,8.23,95.33,81.3,7.51,90.14,3.47,12.93,8755.3,102.28,6136,0.000135,0.000579,PenDigit_0
7,50000,4,100,0.05,0.5,0,0.01,66.62,23.67,87.67,64.56,21.93,83.5,1.9,5.02,9437.97,61.38,3682,0.000107,0.000501,PenDigit_1
7,50000,4,100,0.05,0.5,0,0.01,10.22,1.13,12.56,10.33,0.96,12.46,5.44,7.32,9362.12,51.92,3115,4.9E-05,0.000321,PenDigit_2
7,50000,4,100,0.05,0.5,0,0.01,60.59,17.08,80.45,57.55,17.05,76.44,7.33,6.23,8940.59,44.7,2682,3.71E-05,0.000243,PenDigit_3
8,50000,4,100,0.05,0.5,0,0.01,89.34,14.91,100,90.71,12.27,100,2.67,17.98,23277.94,253.98,15239,3.26E-05,0.000252,chess_0
8,50000,4,100,0.05,0.5,0,0.01,75.65,18.19,100,75.93,17.73,100,3.1,14.2,23783.42,188.79,11327,0.000109,0.000554,chess_1
,,,,,,,,,,,,,,,,,,,,,
8,50000,4,100,0.05,0.5,0,0.01,95.77,6.65,100,96.03,6.3,100,7.03,9.12,24273.35,185.52,11731,3.12E-03,2.45E-02,chess_2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Num. Replica,Cancer,Bank,Pen-digit,Chess,,,,
,,,,,,,,,,,,,4,45.66,79.25,102.28,253.98,,,,
,,,,,,,,,,,,,6,21.16,43.48,61.38,188.79,,,,
,,,,,,,,,,,,,8,13.25,32.57,51.92,185.52,,,,
,,,,,,,,,,,,,10,9.17,29.75,44.7,,,,,
